0.12374577	0.27575047	0
0.59059821	0.7120034	1
0.41805051	0.65532212	1
0.60990661	0.36087448	1
0.97192192	0.20942573	0
0.56178315	0.70165689	1
0.80795273	0.88235281	0
0.17531551	0.28102305	1
0.36755731	0.17576176	1
0.31350876	0.43851503	1
0.70448352	0.24470636	1
0.63206119	0.03511006	0
0.65349584	0.295284	1
0.07976021	0.4832919	0
0.04391877	0.81166293	0
0.44474224	0.17809448	1
0.10574102	0.21164938	0
0.13003504	0.52352079	1
0.77442744	0.67527814	1
0.27765381	0.68509595	1
0.08977185	0.83740165	0
0.92924908	0.60303652	0
0.90089151	0.65842907	0
0.53935931	0.57453115	1
0.39954857	0.10668808	0
0.39686944	0.58041459	1
0.83245849	0.43537879	1
0.48839604	0.50335987	1
0.14429587	0.62232735	1
0.63259193	0.59549716	1
0.38134488	0.99712312	0
0.5896112	0.48629043	1
0.85096991	0.77776001	0
0.86196983	0.80744283	0
0.95977534	0.78147189	0
0.59119086	0.64626725	1
0.48273383	0.01637493	0
0.18862357	0.67791159	1
0.85159919	0.75360337	0
0.89438054	0.58138997	0
0.41967721	0.28362754	1
0.10454003	0.26803708	0
0.94297382	0.26080287	0
0.62658033	0.78580645	1
0.04969803	0.62910114	0
0.46977618	0.01496355	0
0.28962395	0.73671952	1
0.48096523	0.99824849	0
0.84211703	0.42445565	1
0.11836575	0.2804781	0
0.02128567	0.56109525	0
0.40329839	0.1685681	1
0.89816098	0.95973241	0
0.42631899	0.25296573	1
0.71413578	0.26463394	1
0.78232119	0.83127652	0
0.85130935	0.74623836	0
0.72210078	0.09899578	0
0.78508171	0.57051249	1
0.39918447	0.08646418	0
0.21410043	0.96288107	0
0.67407352	0.73575231	1
0.18148158	0.95136106	0
0.38941478	0.06223217	0
0.4346794	0.06562592	0
0.46102234	0.48276174	1
0.37647258	0.37792089	1
0.42559182	0.67875939	1
0.72265519	0.23945088	1
0.77163401	0.36135095	1
0.49940657	0.29467728	1
0.38417906	0.94874046	0
0.84389329	0.59622426	1
0.46421432	0.54308869	1
0.68244068	0.27122477	1
0.15706761	0.156861	0
0.58483327	0.83176345	1
0.14089146	0.23108078	0
0.84088426	0.99745527	0
0.83222856	0.98008952	0
0.45160573	0.71817352	1
0.23152542	0.27019373	1
0.46239697	0.00473938	0
0.82051804	0.79744752	0
0.27086825	0.46363493	1
0.44191161	0.54541947	1
0.32059941	0.36306505	1
0.49257773	0.96485322	0
0.23662436	0.93049953	0
0.67954612	0.06972537	0
0.61469747	0.15663012	1
0.1980804	0.04943476	0
0.89358287	0.63790145	0
0.81553894	0.13148662	0
0.40588121	0.66678843	1
0.148165	0.71598177	0
0.97015871	0.43711253	0
0.34208323	0.79695914	1
0.25541901	0.23962883	1
0.63641305	0.95579031	0
